'y-axis saved as y
'x,CLR_4N_051D_XRD_20190814.raw,Diff,Ycalc
53.8528018,793,49.9804267,743.019573
53.8834068,760,20.2360638,739.763936
53.9140119,822,85.3879675,736.612032
53.9446169,773,39.3941998,733.6058
53.975222,816,85.1979607,730.802039
54.005827,773,44.141277,728.858723
54.036432,789,60.7274035,728.272597
54.0670371,775,47.9416067,727.058393
54.0976421,795,68.1900616,726.809938
54.1282471,783,54.9083261,728.091674
54.1588522,792,60.0145773,731.985423
54.1894572,866,125.178272,740.821728
54.2200622,839,78.485385,760.514615
54.2506673,800,-10.3669837,810.366984
54.2812723,907,-80.2976202,987.29762
54.3118773,1297,-451.808678,1748.80868
54.3424824,1626,-847.56363,2473.56363
54.3730874,1069,-102.879859,1171.87986
54.4036924,934,32.4134408,901.586559
54.4342975,864,-82.8568212,946.856821
54.4649025,1072,-213.777255,1285.77726
54.4955076,1177,-321.211647,1498.21165
54.5261126,851,-61.05316,912.05316
54.5567176,802,29.0046442,772.995356
54.5873227,805,72.5422862,732.457714
54.6179277,800,84.0871232,715.912877
54.6485327,747,38.8006107,708.199389
54.6791378,703,-1.75791809,704.757918
54.7097428,735,31.158782,703.841218
54.7403478,749,44.3296309,704.670369
54.7709529,731,24.1351426,706.864857
54.8015579,724,13.7692459,710.230754
54.8321629,714,-0.670674403,714.670674
54.862768,743,22.8586065,720.141393
54.893373,762,35.3677621,726.632238
54.9239781,774,40.3853485,733.614651
54.9545831,758,18.9693412,739.030659
54.9851881,733,-16.0840966,749.084097
